,title,num_reviews,release_date,orig_price,been_sale,review_rating,rating_val,num_languages,tags,num_tags,genres,num_genres,publisher,year_released,languages_filled,top_pubs,BANDAI NAMCO Entertainment,Bethesda Softworks,Devolver Digital,Disney,Electronic Arts,Kagura Games,Nightdive Studios,Paradox Interactive,SEGA,Square Enix,THQ Nordic,Ubisoft,Xbox Game Studios,other,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Multiplayer_tag,Strategy_tag,RPG_tag,Casual_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Funny_tag,Coop_tag,Fantasy_tag,Early_tag,Access_tag,Platformer_tag,Local_tag,Singleplayer_genre,Indie_genre,Action_genre,Adventure_genre,Multiplayer_genre,Strategy_genre,RPG_genre,Casual_genre,Simulation_genre,Atmospheric_genre,Horror_genre,2D_genre,Soundtrack_genre,Great_genre,Story_genre,Rich_genre,World_genre,Shooter_genre,Puzzle_genre,TurnBased_genre,Open_genre,FirstPerson_genre,Survival_genre,Funny_genre,Coop_genre,Fantasy_genre,Early_genre,Access_genre,Platformer_genre,Local_genre
0,Sea of Thieves,111078,2020-06-03,39.99,1,Very Positive,8.0,13.0,"['Adventure', 'Multiplayer', 'Open World', 'Pirates', 'Action', 'Co-op', 'Online Co-Op', 'Sailing', 'PvP', 'First-Person', 'Exploration', 'Naval', 'Funny', 'PvE', 'Atmospheric', 'Massively Multiplayer', 'Swordplay', 'Great Soundtrack', 'FPS', 'Singleplayer']",20.0,"['Action', 'Adventure']",2.0,Xbox Game Studios,2020,13.0,Xbox Game Studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,It Takes Two,11813,2021-03-26,39.99,0,Overwhelmingly Positive,9.0,12.0,"['Co-op', 'Adventure', '3D Platformer', 'Puzzle', 'Puzzle Platformer', 'Platformer', 'Action-Adventure', 'Split Screen', 'Female Protagonist', 'Story Rich', 'Action', 'Atmospheric', 'Emotional', 'Co-op Campaign', 'Local Co-Op', 'Local Multiplayer', 'Exploration', 'Online Co-Op', 'Multiplayer', 'Minigames']",20.0,"['Action', 'Adventure', 'Hazelight']",3.0,Electronic Arts,2021,12.0,Electronic Arts,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Valheim,216651,2021-02-02,19.99,0,Overwhelmingly Positive,9.0,12.0,"['Open World Survival Craft', 'Online Co-Op', 'Survival', 'Open World', 'Crafting', 'Exploration', 'Building', 'Multiplayer', 'Co-op', 'Mythology', 'Sandbox', 'Base Building', 'Adventure', 'Sailing', 'Early Access', 'RPG', 'Action', 'Indie', 'PvP', 'Fishing']",20.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access', 'Iron Gate AB']",6.0, Coffee Stain Publishing,2021,12.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,Horizon Zero Dawn™ Complete Edition,45704,2020-08-07,49.99,1,Mostly Positive,7.0,20.0,"['Adventure', 'Open World', 'Action', 'Female Protagonist', 'RPG', 'Singleplayer', 'Story Rich', 'Post-apocalyptic', 'Robots', 'Sci-fi', 'Exploration', 'Third Person', 'Beautiful', 'Atmospheric', 'Great Soundtrack', 'Action RPG', 'Archery', 'Hunting', 'Dinosaurs', 'Stealth']",20.0,"['Action', 'Adventure', 'RPG']",3.0,"PlayStation Mobile, Inc.",2020,20.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Phasmophobia,256136,2020-09-18,13.99,0,Overwhelmingly Positive,9.0,25.0,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'Supernatural', 'VR', 'First-Person', 'Investigation', 'Dark', 'Mystery', 'Detective', 'Demons', 'Early Access', 'Thriller', 'Indie', '3D', 'Action', 'Tactical', 'Lovecraftian']",20.0,[],0.0,Kinetic Games,2020,25.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Forza Horizon 4,23944,2021-03-09,59.99,1,Mostly Positive,7.0,16.0,"['Racing', 'Open World', 'Driving', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Adventure', 'Automobile Sim', 'Realistic', 'PvP', 'Action', 'Arcade', 'Exploration', 'Sports', 'Atmospheric', 'Simulation', 'Great Soundtrack', 'First-Person', 'VR', 'Funny']",20.0,['Racing'],1.0,Xbox Game Studios,2021,16.0,Xbox Game Studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Rust,598684,2018-02-08,39.99,0,Very Positive,8.0,25.0,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'Sandbox', 'PvP', 'Adventure', 'First-Person', 'Action', 'FPS', 'Nudity', 'Co-op', 'Shooter', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation']",20.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",5.0,Facepunch Studios,2018,25.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Baldur's Gate 3,38064,2020-10-06,59.99,0,Very Positive,8.0,7.0,"['Early Access', 'RPG', 'Dungeons & Dragons', 'Choices Matter', 'Turn-Based', 'Story Rich', 'Party-Based RPG', 'Character Customization', 'CRPG', 'Co-op Campaign', 'Fantasy', 'Romance', 'Class-Based', 'Dark Fantasy', 'PvE', 'Narration', 'Stealth', 'Combat', 'Crafting', 'Dragons']",20.0,"['Adventure', 'RPG', 'Strategy', 'Early Access', 'Larian Studios']",5.0,Larian Studios,2020,7.0,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,Fable Anniversary,8397,2014-09-12,34.99,1,Very Positive,8.0,10.0,"['RPG', 'Fantasy', 'Open World', 'Classic', 'Adventure', 'Singleplayer', 'Remake', 'Atmospheric', 'Action RPG', 'Third Person', 'Choices Matter', 'Story Rich', 'Comedy', 'Action', 'Character Customization', 'Great Soundtrack', 'Medieval', 'Magic', 'Sandbox', 'Funny']",20.0,['RPG'],1.0,Xbox Game Studios,2014,10.0,Xbox Game Studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Age of Empires II: Definitive Edition,73464,2019-11-14,19.99,1,Very Positive,8.0,14.0,"['Strategy', 'RTS', 'City Builder', 'Multiplayer', 'Historical', 'Base Building', 'Medieval', 'Singleplayer', 'Classic', 'Resource Management', 'Remake', 'Real-Time', 'Tactical', 'Co-op', 'Action', 'Replay Value', 'Isometric', '2D', 'Adventure', 'Great Soundtrack']",20.0,"['Strategy', 'Forgotten Empires', 'Tantalus Media', 'Wicked Witch']",4.0,Xbox Game Studios,2019,14.0,Xbox Game Studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
