,num_reviews,orig_price,been_sale,rating_val,num_tags,num_genres,year_released
0,111078,39.99,1,8.0,20.0,2.0,2020.0
1,11813,39.99,0,9.0,20.0,3.0,2021.0
2,216651,19.99,0,9.0,20.0,6.0,2021.0
3,45704,49.99,1,7.0,20.0,3.0,2020.0
4,256136,13.99,0,9.0,20.0,0.0,2020.0
5,23944,59.99,1,7.0,20.0,1.0,2021.0
6,598684,39.99,0,8.0,20.0,5.0,2018.0
7,38064,59.99,0,8.0,20.0,5.0,2020.0
8,8397,34.99,1,8.0,20.0,1.0,2014.0
9,73464,19.99,1,8.0,20.0,4.0,2019.0
10,74220,29.99,1,8.0,20.0,2.0,2019.0
11,87734,39.99,0,8.0,20.0,1.0,2019.0
12,446261,19.99,1,8.0,20.0,1.0,2016.0
15,148259,24.99,0,9.0,20.0,2.0,2020.0
16,235,14.99,1,8.0,20.0,3.0,2021.0
17,37643,14.99,0,8.0,20.0,4.0,2020.0
18,60517,39.99,1,8.0,20.0,4.0,2015.0
19,346111,14.99,0,9.0,20.0,3.0,2016.0
21,7953,59.99,1,7.0,20.0,3.0,2018.0
23,407256,59.99,0,7.0,20.0,1.0,2020.0
24,174885,59.99,0,8.0,20.0,3.0,2019.0
25,9324,59.99,1,8.0,20.0,3.0,2020.0
26,260518,19.99,0,8.0,20.0,0.0,2018.0
27,356033,19.99,0,8.0,20.0,5.0,2020.0
28,111244,19.99,0,8.0,20.0,4.0,2018.0
31,302018,29.99,0,8.0,20.0,2.0,2018.0
33,534568,4.99,0,8.0,20.0,1.0,2018.0
35,21377,29.99,1,7.0,20.0,3.0,2020.0
39,138362,14.99,1,9.0,20.0,3.0,2014.0
40,263559,44.99,0,5.0,20.0,3.0,2018.0
44,5372,34.99,0,8.0,16.0,5.0,2019.0
46,721278,9.99,0,9.0,20.0,4.0,2011.0
48,66011,29.99,1,9.0,20.0,2.0,2020.0
50,43581,29.99,1,8.0,20.0,4.0,2017.0
51,3203,59.99,1,8.0,5.0,3.0,2020.0
52,55841,59.99,0,9.0,20.0,0.0,2020.0
54,69968,24.99,0,9.0,20.0,3.0,2015.0
55,163092,24.99,0,8.0,20.0,7.0,2013.0
57,84207,29.99,0,9.0,20.0,2.0,2020.0
58,418832,49.99,0,8.0,20.0,8.0,2017.0
59,32968,39.99,0,8.0,20.0,1.0,2019.0
61,12411,39.99,1,9.0,20.0,3.0,2019.0
62,1469,10.99,1,9.0,15.0,6.0,2020.0
63,5348,39.99,0,5.0,15.0,3.0,2021.0
