,title,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher
0,,,,,,,"['Action', 'Adventure', 'RPG', 'People Can Fly']",4.0,
1,Sea of Thieves,"111,078",Very Positive,13,"['Adventure', 'Multiplayer', 'Open World', 'Pirates', 'Action', 'Co-op', 'Online Co-Op', 'Sailing', 'PvP', 'First-Person', 'Exploration', 'Naval', 'Funny', 'PvE', 'Atmospheric', 'Massively Multiplayer', 'Swordplay', 'Great Soundtrack', 'FPS', 'Singleplayer']",20.0,"['Action', 'Adventure']",2.0,Xbox Game Studios
2,,,,,,,"['Action', '343 Industries', 'Splash Damage', 'Ruffian Games', 'Bungie', 'Saber Interactive', 'Certain Affinity', 'Xbox Game Studios']",8.0,
3,It Takes Two,"11,813",Overwhelmingly Positive,12,"['Co-op', 'Adventure', '3D Platformer', 'Puzzle', 'Puzzle Platformer', 'Platformer', 'Action-Adventure', 'Split Screen', 'Female Protagonist', 'Story Rich', 'Action', 'Atmospheric', 'Emotional', 'Co-op Campaign', 'Local Co-Op', 'Local Multiplayer', 'Exploration', 'Online Co-Op', 'Multiplayer', 'Minigames']",20.0,"['Action', 'Adventure', 'Hazelight']",3.0,Electronic Arts
4,Valheim,"216,651",Overwhelmingly Positive,12,"['Open World Survival Craft', 'Online Co-Op', 'Survival', 'Open World', 'Crafting', 'Exploration', 'Building', 'Multiplayer', 'Co-op', 'Mythology', 'Sandbox', 'Base Building', 'Adventure', 'Sailing', 'Early Access', 'RPG', 'Action', 'Indie', 'PvP', 'Fishing']",20.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access', 'Iron Gate AB']",6.0, Coffee Stain Publishing
5,Horizon Zero Dawn™ Complete Edition,"45,704",Mostly Positive,20,"['Adventure', 'Open World', 'Action', 'Female Protagonist', 'RPG', 'Singleplayer', 'Story Rich', 'Post-apocalyptic', 'Robots', 'Sci-fi', 'Exploration', 'Third Person', 'Beautiful', 'Atmospheric', 'Great Soundtrack', 'Action RPG', 'Archery', 'Hunting', 'Dinosaurs', 'Stealth']",20.0,"['Action', 'Adventure', 'RPG']",3.0,"PlayStation Mobile, Inc."
6,,,,,,,"['Action', 'Adventure', 'Indie', 'RPG', 'Nicalis, Inc.', 'Edmund McMillen']",6.0,
7,,,,,,,"['RPG', 'Nihon Falcom', 'Engine Software BV', 'PH3 GmbH', 'NIS America, Inc.']",5.0,
8,,,,,,,"['Action', 'FromSoftware, Inc.', 'FromSoftware, Inc.']",3.0,
9,,,,,,,"['Action', 'Adventure', 'Massively Multiplayer', 'Rare Ltd']",4.0,
10,Phasmophobia,"256,136",Overwhelmingly Positive,25,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'Supernatural', 'VR', 'First-Person', 'Investigation', 'Dark', 'Mystery', 'Detective', 'Demons', 'Early Access', 'Thriller', 'Indie', '3D', 'Action', 'Tactical', 'Lovecraftian']",20.0,[],0.0,Kinetic Games
11,,,,,,,"['Action', 'Adventure', 'Rockstar North']",3.0,
