title,link,release_date,been_sale,orig_price,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher,year_released,languages_filled,top_pubs,rating_val,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Casual_tag,Strategy_tag,Multiplayer_tag,RPG_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Fantasy_tag,Funny_tag,Coop_tag,Platformer_tag,Early_tag,Access_tag,Sim_tag,Indie_genre,Action_genre,Adventure_genre,Casual_genre,Simulation_genre,Strategy_genre,RPG_genre,_genre,Early_genre,Access_genre,Games_genre,Sports_genre,Racing_genre,Studios_genre,Entertainment_genre,Massively_genre,Multiplayer_genre,Studio_genre,Interactive_genre,Inc_genre,Software_genre,Game_genre,Utilities_genre,Feral_genre,Ltd_genre,Mac_genre,Design_genre,Illustration_genre,Sokpop_genre,Collective_genre,Activision,BANDAI NAMCO Entertainment,Capcom,Devolver Digital,Disney,Electronic Arts,Paradox Interactive,SEGA,Sokpop Collective,Square Enix,THQ Nordic,Ubisoft,Winged Cloud,other,tinyBuild
OUTRIDERS,https://store.steampowered.com/app/680420/OUTRIDERS/?snr=1_7_7_7000_150_1,2021-04-01 00:00:00,0,59.99,36837,Mixed,13.0,"['RPG', 'Action', 'Adventure', 'Co-op', 'Third-Person Shooter', 'Looter Shooter', 'Multiplayer', 'Violent', 'Gore', 'Shooter', 'Loot', 'Sci-fi', 'Singleplayer', 'Character Customization', 'Online Co-Op', 'Third Person', 'Open World', 'Post-apocalyptic', 'Sexual Content', 'Female Protagonist']",20.0,"['Action', 'Adventure', 'RPG']",3.0,Square Enix,2021,13.0,Square Enix,6,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
It Takes Two,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_7000_150_1,2021-03-26 00:00:00,0,39.99,15688,Overwhelmingly Positive,12.0,"['Co-op', 'Adventure', 'Puzzle', '3D Platformer', 'Puzzle Platformer', 'Split Screen', 'Platformer', 'Action-Adventure', 'Story Rich', 'Female Protagonist', 'Action', 'Atmospheric', 'Emotional', 'Co-op Campaign', 'Local Co-Op', 'Multiplayer', 'Online Co-Op', 'Local Multiplayer', 'Exploration', 'Minigames']",20.0,"['Action', 'Adventure', 'Hazelight']",3.0,Electronic Arts,2021,12.0,Electronic Arts,10,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Valheim,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_7000_150_1,2021-02-02 00:00:00,0,19.99,222855,Overwhelmingly Positive,12.0,"['Open World Survival Craft', 'Online Co-Op', 'Survival', 'Open World', 'Crafting', 'Exploration', 'Building', 'Multiplayer', 'Co-op', 'Base Building', 'Sandbox', 'Mythology', 'Adventure', 'Sailing', 'Early Access', 'RPG', 'Action', 'Indie', 'PvP', 'Fishing']",20.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access', 'Iron Gate AB']",6.0, Coffee Stain Publishing,2021,12.0,other,10,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_7000_150_1,2013-12-13 00:00:00,1,24.99,163711,Very Positive,14.0,"['Early Access', 'Survival', 'Voxel', 'Zombies', 'Post-apocalyptic', 'Open World', 'Open World Survival Craft', 'Simulation', 'Exploration', 'Strategy', 'Base Building', 'Tower Defense', 'Procedural Generation', 'Character Customization', 'Multiplayer', 'Building', 'Sandbox', 'FPS', 'Action', 'Online Co-Op']",20.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']",7.0,The Fun Pimps Entertainment LLC,2013,14.0,other,9,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Titanfall® 2,https://store.steampowered.com/app/1237970/Titanfall_2/?snr=1_7_7_7000_150_1,2020-06-18 00:00:00,1,29.99,57126,Overwhelmingly Positive,10.0,"['FPS', 'Multiplayer', 'Action', 'Shooter', 'Mechs', 'Singleplayer', 'Sci-fi', 'First-Person', 'Parkour', 'Futuristic', 'PvP', 'Military', 'Combat', 'Team-Based', 'Time Travel', 'Hero Shooter', 'Violent', 'Fast-Paced', 'Gore', 'Co-op']",20.0,"['Action', 'Respawn Entertainment']",2.0,Electronic Arts,2020,10.0,Electronic Arts,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Battlefield V,https://store.steampowered.com/app/1238810/Battlefield_V/?snr=1_7_7_7000_150_1,2020-10-22 00:00:00,1,49.99,26468,Mixed,14.0,"['FPS', 'World War II', 'Shooter', 'Multiplayer', 'War', 'PvP', 'First-Person', 'Open World', 'Combat', 'Atmospheric', 'Action', 'Massively Multiplayer', 'Military', 'Destruction', 'Singleplayer', 'Historical', 'Battle Royale', 'Violent', 'Female Protagonist', 'Sexual Content']",20.0,"['Action', 'DICE']",2.0,Electronic Arts,2020,14.0,Electronic Arts,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Battlefield 4™,https://store.steampowered.com/app/1238860/Battlefield_4/?snr=1_7_7_7000_150_1,2020-06-11 00:00:00,1,39.99,14138,Very Positive,12.0,"['Multiplayer', 'FPS', 'Shooter', 'Military', 'Action', 'Singleplayer', 'War', 'First-Person', 'PvP', 'Violent', 'Massively Multiplayer', 'Co-op', 'Destruction', 'Controller']",14.0,"['Action', 'DICE']",2.0,Electronic Arts,2020,12.0,Electronic Arts,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sea of Thieves,https://store.steampowered.com/app/1172620/Sea_of_Thieves/?snr=1_7_7_7000_150_1,2020-06-03 00:00:00,0,39.99,116448,Very Positive,13.0,"['Adventure', 'Multiplayer', 'Open World', 'Pirates', 'Action', 'Co-op', 'Online Co-Op', 'Sailing', 'PvP', 'First-Person', 'Exploration', 'Naval', 'Funny', 'PvE', 'Atmospheric', 'Massively Multiplayer', 'Swordplay', 'Great Soundtrack', 'FPS', 'Singleplayer']",20.0,"['Action', 'Adventure']",2.0,Xbox Game Studios,2020,13.0,other,9,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Resident Evil 3,https://store.steampowered.com/app/952060/Resident_Evil_3/?snr=1_7_7_7000_150_1,2020-04-02 00:00:00,1,59.99,46305,Mostly Positive,12.0,"['Action', 'Zombies', 'Horror', 'Female Protagonist', 'Multiplayer', 'Survival Horror', 'Remake', 'Singleplayer', 'Gore', 'Third Person', 'Violent', 'Co-op', 'Third-Person Shooter', 'Atmospheric', 'Story Rich', 'Adventure', 'Classic', 'Great Soundtrack', 'Difficult', 'Sexual Content']",20.0,"['Action', 'CAPCOM Co., Ltd.']",2.0,"CAPCOM Co., Ltd.",2020,12.0,other,7,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1,2018-02-08 00:00:00,0,39.99,601739,Very Positive,25.0,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'Sandbox', 'PvP', 'Adventure', 'First-Person', 'Action', 'FPS', 'Nudity', 'Co-op', 'Shooter', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation']",20.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",5.0,Facepunch Studios,2018,25.0,other,9,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
